Community Area Name,Cases,Reported Cases,Year,Gender,STI Name
ASHBURN,CASES 2003 MALE 15-44,59,2003,MALE,CHL
AUBURN GRESHAM,CASES 2003 MALE 15-44,224,2003,MALE,CHL
BEVERLY,CASES 2003 MALE 15-44,17,2003,MALE,CHL
WASHINGTON HEIGHTS,CASES 2003 MALE 15-44,113,2003,MALE,CHL
MOUNT GREENWOOD,CASES 2003 MALE 15-44,0,2003,MALE,CHL
MORGAN PARK,CASES 2003 MALE 15-44,50,2003,MALE,CHL
O'HARE,CASES 2003 MALE 15-44,7,2003,MALE,CHL
EDGEWATER,CASES 2003 MALE 15-44,84,2003,MALE,CHL
ROGERS PARK,CASES 2004 MALE 15-44,92,2004,MALE,CHL
WEST RIDGE,CASES 2004 MALE 15-44,36,2004,MALE,CHL
UPTOWN,CASES 2004 MALE 15-44,89,2004,MALE,CHL
LINCOLN SQUARE,CASES 2004 MALE 15-44,24,2004,MALE,CHL
NORTH CENTER,CASES 2004 MALE 15-44,13,2004,MALE,CHL
LAKE VIEW,CASES 2004 MALE 15-44,111,2004,MALE,CHL
LINCOLN PARK,CASES 2004 MALE 15-44,33,2004,MALE,CHL
NEAR NORTH SIDE,CASES 2004 MALE 15-44,54,2004,MALE,CHL
EDISON PARK,CASES 2004 MALE 15-44,0,2004,MALE,CHL
NORWOOD PARK,CASES 2004 MALE 15-44,0,2004,MALE,CHL
JEFFERSON PARK,CASES 2004 MALE 15-44,0,2004,MALE,CHL
FOREST GLEN,CASES 2004 MALE 15-44,0,2004,MALE,CHL
NORTH PARK,CASES 2004 MALE 15-44,8,2004,MALE,CHL
NEAR WEST SIDE,CASES 2004 MALE 15-44,105,2004,MALE,CHL
ALBANY PARK,CASES 2004 MALE 15-44,13,2004,MALE,CHL
PORTAGE PARK,CASES 2004 MALE 15-44,16,2004,MALE,CHL
IRVING PARK,CASES 2004 MALE 15-44,41,2004,MALE,CHL
DUNNING,CASES 2004 MALE 15-44,5,2004,MALE,CHL
MONTCLAIRE,CASES 2004 MALE 15-44,0,2004,MALE,CHL
BELMONT CRAGIN,CASES 2004 MALE 15-44,37,2004,MALE,CHL
HERMOSA,CASES 2004 MALE 15-44,15,2004,MALE,CHL
AVONDALE,CASES 2004 MALE 15-44,21,2004,MALE,CHL
LOGAN SQUARE,CASES 2004 MALE 15-44,44,2004,MALE,CHL
HUMBOLDT PARK,CASES 2004 MALE 15-44,148,2004,MALE,CHL
WEST TOWN,CASES 2004 MALE 15-44,82,2004,MALE,CHL
AUSTIN,CASES 2004 MALE 15-44,370,2004,MALE,CHL
WEST GARFIELD PARK,CASES 2004 MALE 15-44,80,2004,MALE,CHL
EAST GARFIELD PARK,CASES 2004 MALE 15-44,73,2004,MALE,CHL
NORTH LAWNDALE,CASES 2004 MALE 15-44,145,2004,MALE,CHL
SOUTH LAWNDALE,CASES 2004 MALE 15-44,68,2004,MALE,CHL
LOWER WEST SIDE,CASES 2004 MALE 15-44,34,2004,MALE,CHL
LOOP,CASES 2004 MALE 15-44,11,2004,MALE,CHL
NEAR SOUTH SIDE,CASES 2004 MALE 15-44,25,2004,MALE,CHL
ARMOUR SQUARE,CASES 2004 MALE 15-44,5,2004,MALE,CHL
DOUGLAS,CASES 2004 MALE 15-44,52,2004,MALE,CHL
OAKLAND,CASES 2004 MALE 15-44,18,2004,MALE,CHL
FULLER PARK,CASES 2004 MALE 15-44,11,2004,MALE,CHL
GRAND BOULEVARD,CASES 2004 MALE 15-44,63,2004,MALE,CHL
KENWOOD,CASES 2004 MALE 15-44,43,2004,MALE,CHL
WASHINGTON PARK,CASES 2004 MALE 15-44,39,2004,MALE,CHL
HYDE PARK,CASES 2004 MALE 15-44,36,2004,MALE,CHL
WOODLAWN,CASES 2004 MALE 15-44,71,2004,MALE,CHL
SOUTH SHORE,CASES 2004 MALE 15-44,158,2004,MALE,CHL
CHATHAM,CASES 2004 MALE 15-44,97,2004,MALE,CHL
AVALON PARK,CASES 2004 MALE 15-44,19,2004,MALE,CHL
SOUTH CHICAGO,CASES 2004 MALE 15-44,103,2004,MALE,CHL
BURNSIDE,CASES 2004 MALE 15-44,18,2004,MALE,CHL
CALUMET HEIGHTS,CASES 2004 MALE 15-44,28,2004,MALE,CHL
ROSELAND,CASES 2004 MALE 15-44,185,2004,MALE,CHL
PULLMAN,CASES 2004 MALE 15-44,16,2004,MALE,CHL
SOUTH DEERING,CASES 2004 MALE 15-44,28,2004,MALE,CHL
EAST SIDE,CASES 2004 MALE 15-44,10,2004,MALE,CHL
WEST PULLMAN,CASES 2004 MALE 15-44,106,2004,MALE,CHL
RIVERDALE,CASES 2004 MALE 15-44,44,2004,MALE,CHL
HEGEWISCH,CASES 2004 MALE 15-44,0,2004,MALE,CHL
GARFIELD RIDGE,CASES 2004 MALE 15-44,10,2004,MALE,CHL
ARCHER HEIGHTS,CASES 2004 MALE 15-44,5,2004,MALE,CHL
BRIGHTON PARK,CASES 2004 MALE 15-44,35,2004,MALE,CHL
MCKINLEY PARK,CASES 2004 MALE 15-44,5,2004,MALE,CHL
BRIDGEPORT,CASES 2004 MALE 15-44,10,2004,MALE,CHL
NEW CITY,CASES 2004 MALE 15-44,82,2004,MALE,CHL
WEST ELSDON,CASES 2004 MALE 15-44,12,2004,MALE,CHL
GAGE PARK,CASES 2004 MALE 15-44,20,2004,MALE,CHL
CLEARING,CASES 2004 MALE 15-44,0,2004,MALE,CHL
WEST LAWN,CASES 2004 MALE 15-44,16,2004,MALE,CHL
CHICAGO LAWN,CASES 2004 MALE 15-44,134,2004,MALE,CHL
WEST ENGLEWOOD,CASES 2004 MALE 15-44,204,2004,MALE,CHL
ENGLEWOOD,CASES 2004 MALE 15-44,166,2004,MALE,CHL
GREATER GRAND CROSSING,CASES 2004 MALE 15-44,131,2004,MALE,CHL
ASHBURN,CASES 2004 MALE 15-44,63,2004,MALE,CHL
AUBURN GRESHAM,CASES 2004 MALE 15-44,153,2004,MALE,CHL
BEVERLY,CASES 2004 MALE 15-44,15,2004,MALE,CHL
WASHINGTON HEIGHTS,CASES 2004 MALE 15-44,76,2004,MALE,CHL
MOUNT GREENWOOD,CASES 2004 MALE 15-44,0,2004,MALE,CHL
MORGAN PARK,CASES 2004 MALE 15-44,51,2004,MALE,CHL
O'HARE,CASES 2004 MALE 15-44,9,2004,MALE,CHL
EDGEWATER,CASES 2004 MALE 15-44,52,2004,MALE,CHL
ROGERS PARK,CASES 2005 MALE 15-44,76,2005,MALE,CHL
WEST RIDGE,CASES 2005 MALE 15-44,36,2005,MALE,CHL
UPTOWN,CASES 2005 MALE 15-44,83,2005,MALE,CHL
LINCOLN SQUARE,CASES 2005 MALE 15-44,31,2005,MALE,CHL
NORTH CENTER,CASES 2005 MALE 15-44,21,2005,MALE,CHL
LAKE VIEW,CASES 2005 MALE 15-44,128,2005,MALE,CHL
LINCOLN PARK,CASES 2005 MALE 15-44,40,2005,MALE,CHL
NEAR NORTH SIDE,CASES 2005 MALE 15-44,83,2005,MALE,CHL
EDISON PARK,CASES 2005 MALE 15-44,0,2005,MALE,CHL
NORWOOD PARK,CASES 2005 MALE 15-44,0,2005,MALE,CHL
JEFFERSON PARK,CASES 2005 MALE 15-44,9,2005,MALE,CHL
FOREST GLEN,CASES 2005 MALE 15-44,0,2005,MALE,CHL
NORTH PARK,CASES 2005 MALE 15-44,8,2005,MALE,CHL
NEAR WEST SIDE,CASES 2005 MALE 15-44,125,2005,MALE,CHL
ALBANY PARK,CASES 2005 MALE 15-44,25,2005,MALE,CHL
PORTAGE PARK,CASES 2005 MALE 15-44,20,2005,MALE,CHL
IRVING PARK,CASES 2005 MALE 15-44,40,2005,MALE,CHL
DUNNING,CASES 2005 MALE 15-44,0,2005,MALE,CHL
MONTCLAIRE,CASES 2005 MALE 15-44,9,2005,MALE,CHL
BELMONT CRAGIN,CASES 2005 MALE 15-44,61,2005,MALE,CHL
HERMOSA,CASES 2005 MALE 15-44,25,2005,MALE,CHL
AVONDALE,CASES 2005 MALE 15-44,25,2005,MALE,CHL
LOGAN SQUARE,CASES 2005 MALE 15-44,96,2005,MALE,CHL
HUMBOLDT PARK,CASES 2005 MALE 15-44,205,2005,MALE,CHL
WEST TOWN,CASES 2005 MALE 15-44,110,2005,MALE,CHL
AUSTIN,CASES 2005 MALE 15-44,494,2005,MALE,CHL
WEST GARFIELD PARK,CASES 2005 MALE 15-44,141,2005,MALE,CHL
EAST GARFIELD PARK,CASES 2005 MALE 15-44,130,2005,MALE,CHL
NORTH LAWNDALE,CASES 2005 MALE 15-44,246,2005,MALE,CHL
SOUTH LAWNDALE,CASES 2005 MALE 15-44,85,2005,MALE,CHL
LOWER WEST SIDE,CASES 2005 MALE 15-44,35,2005,MALE,CHL
LOOP,CASES 2005 MALE 15-44,31,2005,MALE,CHL
